playerId,season,name,team,position,situation,games_played,icetime,I_F_goals,I_F_points,I_F_primaryAssists,I_F_secondaryAssists
8483524,2024,Shane Wright,SEA,C,4on5,59,35.0,0.0,0.0,0.0,0.0
8483524,2024,Shane Wright,SEA,C,5on4,59,5991.0,7.0,12.0,2.0,3.0
8476892,2024,Colton Parayko,STL,D,other,62,3818.0,3.0,6.0,3.0,0.0
8476892,2024,Colton Parayko,STL,D,all,62,88736.0,15.0,35.0,10.0,10.0
8476892,2024,Colton Parayko,STL,D,5on5,62,75052.0,12.0,26.0,4.0,10.0
8476892,2024,Colton Parayko,STL,D,4on5,62,8008.0,0.0,1.0,1.0,0.0
8476892,2024,Colton Parayko,STL,D,5on4,62,1858.0,0.0,0.0,0.0,0.0
8480950,2024,Ilya Lyubushkin,DAL,D,other,59,1535.0,0.0,1.0,0.0,1.0
8480950,2024,Ilya Lyubushkin,DAL,D,all,59,60215.0,1.0,12.0,4.0,7.0
8480950,2024,Ilya Lyubushkin,DAL,D,5on5,59,50721.0,1.0,11.0,4.0,6.0
8480950,2024,Ilya Lyubushkin,DAL,D,4on5,59,7858.0,0.0,0.0,0.0,0.0
8480950,2024,Ilya Lyubushkin,DAL,D,5on4,59,101.0,0.0,0.0,0.0,0.0
8475166,2024,John Tavares,TOR,C,other,55,4772.0,5.0,10.0,2.0,3.0
8475166,2024,John Tavares,TOR,C,all,55,60780.0,24.0,53.0,17.0,12.0
8475166,2024,John Tavares,TOR,C,5on5,55,46707.0,11.0,29.0,13.0,5.0
8475166,2024,John Tavares,TOR,C,4on5,55,78.0,0.0,0.0,0.0,0.0
8475166,2024,John Tavares,TOR,C,5on4,55,9223.0,8.0,13.0,2.0,3.0
8476483,2024,Rickard Rakell,PIT,R,other,63,3560.0,4.0,5.0,1.0,0.0
8476483,2024,Rickard Rakell,PIT,R,all,63,73135.0,29.0,53.0,11.0,13.0
8476483,2024,Rickard Rakell,PIT,R,5on5,63,59601.0,21.0,36.0,7.0,8.0
8476483,2024,Rickard Rakell,PIT,R,4on5,63,26.0,0.0,0.0,0.0,0.0
8476483,2024,Rickard Rakell,PIT,R,5on4,63,9948.0,4.0,11.0,3.0,4.0
8475784,2024,Jeff Skinner,EDM,L,other,53,356.0,1.0,1.0,0.0,0.0
8475784,2024,Jeff Skinner,EDM,L,all,53,39620.0,11.0,21.0,8.0,2.0
8475784,2024,Jeff Skinner,EDM,L,5on5,53,36284.0,10.0,18.0,6.0,2.0
8475784,2024,Jeff Skinner,EDM,L,4on5,53,3.0,0.0,0.0,0.0,0.0
8475784,2024,Jeff Skinner,EDM,L,5on4,53,2977.0,0.0,2.0,2.0,0.0
8480196,2024,Jacob Bryson,BUF,D,other,36,633.0,0.0,0.0,0.0,0.0
8480196,2024,Jacob Bryson,BUF,D,all,36,30462.0,0.0,6.0,4.0,2.0
8480196,2024,Jacob Bryson,BUF,D,5on5,36,27830.0,0.0,6.0,4.0,2.0
8480196,2024,Jacob Bryson,BUF,D,4on5,36,1996.0,0.0,0.0,0.0,0.0
8480196,2024,Jacob Bryson,BUF,D,5on4,36,3.0,0.0,0.0,0.0,0.0
8478970,2024,Jalen Chatfield,CAR,D,other,62,1756.0,0.0,0.0,0.0,0.0
8478970,2024,Jalen Chatfield,CAR,D,all,62,70293.0,5.0,14.0,3.0,6.0
8478970,2024,Jalen Chatfield,CAR,D,5on5,62,61660.0,5.0,13.0,3.0,5.0
8478970,2024,Jalen Chatfield,CAR,D,4on5,62,6773.0,0.0,1.0,0.0,1.0
8478970,2024,Jalen Chatfield,CAR,D,5on4,62,104.0,0.0,0.0,0.0,0.0
8479365,2024,Trent Frederic,BOS,C,other,57,945.0,0.0,0.0,0.0,0.0
8479365,2024,Trent Frederic,BOS,C,all,57,47321.0,8.0,15.0,4.0,3.0
